,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
as_falsa_digital_1,-0.1464446634054184,0.10816358774900436,0.05850053206086159,-0.04681620001792908,-0.030488641932606697,-0.03188813477754593,0.012986104935407639,-0.0778452605009079,0.13140881061553955,-0.016576912254095078,0.26823028922080994,-0.03977217525243759,-0.2035660296678543,-0.10012105107307434,0.02791857346892357,0.06609978526830673,-0.047489430755376816,-0.13360047340393066,0.008577056229114532,-0.02723333239555359,0.06006709113717079,-0.02092721313238144,0.0010997885838150978,0.11611048877239227,-0.14685460925102234,-0.32275211811065674,-0.10611812770366669,-0.12035543471574783,-0.045409224927425385,-0.191214457154274,-0.0719260573387146,0.10014264285564423,-0.17768050730228424,-0.07515297830104828,-0.01689046435058117,0.1493416726589203,-0.01565411314368248,-0.009847015142440796,0.17826411128044128,0.06019752100110054,-0.11672523617744446,-0.0349823459982872,0.01358804665505886,0.34228476881980896,0.13373714685440063,-0.027700083330273628,0.04699494317173958,0.046810317784547806,0.06952274590730667,-0.2134770005941391,0.06116374209523201,0.10628879070281982,0.17138263583183289,0.05823139473795891,0.022266380488872528,-0.10316911339759827,0.004781829193234444,0.053009599447250366,-0.19746825098991394,0.08314412087202072,0.030076809227466583,-0.13037899136543274,-0.06520802527666092,-0.009423927403986454,0.2544659376144409,0.10012204945087433,-0.07692299038171768,-0.1213299110531807,0.1275440901517868,-0.09735769033432007,-0.045350879430770874,0.12008146941661835,-0.13137227296829224,-0.18367859721183777,-0.17922453582286835,0.15246783196926117,0.32311704754829407,0.08346826583147049,-0.18861602246761322,0.08782455325126648,-0.1523302048444748,-0.07442677766084671,-0.042588621377944946,0.017345283180475235,-0.025717709213495255,0.13522033393383026,-0.14151591062545776,0.07276318967342377,0.21574953198432922,-0.02001069113612175,0.015385768376290798,0.23557810485363007,-0.013869799673557281,0.04476286470890045,0.0891503393650055,0.012571212835609913,-0.034081120043992996,0.008669289760291576,-0.1030334010720253,-0.030171150341629982,0.050491951406002045,-0.15023861825466156,-0.03789592906832695,0.05344885215163231,-0.27612754702568054,0.1352659910917282,0.0030958917923271656,-0.03490152955055237,-0.04151703417301178,-0.02707437425851822,-0.11529389768838882,-0.051918141543865204,0.14899539947509766,-0.3342305123806,0.12454769760370255,0.16068491339683533,0.057500291615724564,0.11774276942014694,0.016013644635677338,0.008993230760097504,0.05095246061682701,-0.061621617525815964,-0.10756390541791916,-0.021803157404065132,0.12086351960897446,-0.0054903095588088036,-0.014694862999022007,0.026956047862768173
as_falsa_digital_2,-0.13472607731819153,0.10647065937519073,0.07332813739776611,-0.062075234949588776,-0.030764007940888405,-0.029259664937853813,0.023798689246177673,-0.08136745542287827,0.1209728866815567,-0.042026445269584656,0.2751312553882599,-0.02683543786406517,-0.20486295223236084,-0.09563946723937988,0.03500849008560181,0.05556943267583847,-0.045774441212415695,-0.13558894395828247,0.015616773627698421,-0.01702181063592434,0.06595399230718613,-0.020944245159626007,0.0027277509216219187,0.11762776970863342,-0.13822977244853973,-0.32687079906463623,-0.12261117994785309,-0.11025572568178177,-0.02377014048397541,-0.18993417918682098,-0.0648815929889679,0.096065953373909,-0.16674214601516724,-0.0683758407831192,-0.016969289630651474,0.1454932987689972,-0.020244183018803596,-0.027612820267677307,0.16978350281715393,0.06163594871759415,-0.10513688623905182,-0.032011449337005615,0.025487784296274185,0.35531994700431824,0.14792859554290771,-0.04093664884567261,0.04088198021054268,0.04033767804503441,0.06715964525938034,-0.22045524418354034,0.061060793697834015,0.08123752474784851,0.17889094352722168,0.07612158358097076,0.05020055174827576,-0.10303568094968796,0.020169459283351898,0.03358190506696701,-0.2161916047334671,0.0890275314450264,0.0059621273539960384,-0.11102896928787231,-0.06310317665338516,-0.017375651746988297,0.2446223646402359,0.09775479137897491,-0.08631028234958649,-0.12369714677333832,0.12817315757274628,-0.1228732094168663,-0.05128905922174454,0.12343920022249222,-0.13264264166355133,-0.1734708547592163,-0.17494243383407593,0.13938505947589874,0.3116387724876404,0.11112430691719055,-0.20204904675483704,0.08585210889577866,-0.13020657002925873,-0.08329600840806961,-0.02800600975751877,0.028698990121483803,-0.014141147024929523,0.12860877811908722,-0.12626363337039948,0.07432801276445389,0.20264454185962677,-0.01985257677733898,-0.0008952526841312647,0.2505435347557068,-0.0064005739986896515,0.04661093279719353,0.10526785999536514,0.017378132790327072,-0.0302529726177454,0.006681110709905624,-0.13213393092155457,-0.0280515905469656,0.029898300766944885,-0.15320280194282532,-0.047260161489248276,0.055900584906339645,-0.2713811993598938,0.14353013038635254,0.015549592673778534,-0.04136348515748978,-0.037971049547195435,-0.02514902502298355,-0.13992173969745636,-0.049528613686561584,0.14240066707134247,-0.35556772351264954,0.12199048697948456,0.17603102326393127,0.056032080203294754,0.10652013123035431,0.01272814441472292,-0.004429357126355171,0.06457412987947464,-0.06904861330986023,-0.09149564802646637,-0.022602537646889687,0.10854997485876083,-0.019695475697517395,-0.0297990795224905,0.014222853817045689
as_falsa_digital_3,-0.12229787558317184,0.107241190969944,0.10211490839719772,-0.06225035712122917,-0.015424169600009918,-0.0744866281747818,-0.00855252891778946,-0.08167240023612976,0.12034689635038376,0.003335441928356886,0.2862901985645294,-0.03402252867817879,-0.21173875033855438,-0.1306678056716919,0.05262233689427376,0.08482550084590912,-0.04881603643298149,-0.12220682948827744,-0.009104296565055847,-0.024747081100940704,0.05667371675372124,-0.037526294589042664,0.02881157025694847,0.11065557599067688,-0.15124356746673584,-0.3551504611968994,-0.11501550674438477,-0.08411358296871185,-0.050424087792634964,-0.14585520327091217,-0.06031569838523865,0.13291312754154205,-0.15171855688095093,-0.08790570497512817,0.02608269453048706,0.16396759450435638,-0.03277270123362541,-0.050476253032684326,0.2167917937040329,0.04579626023769379,-0.1283721774816513,-0.056258849799633026,0.04150933027267456,0.3183926045894623,0.12543867528438568,-0.02688039094209671,0.09582746028900146,0.03807976469397545,0.09038447588682175,-0.22482828795909882,0.062049586325883865,0.1395113468170166,0.15536969900131226,0.09506396949291229,0.053064100444316864,-0.10663416981697083,0.044468868523836136,0.0631500631570816,-0.21451206505298615,0.050692182034254074,0.0052170827984809875,-0.13473038375377655,-0.056256189942359924,-0.01589130610227585,0.2378905862569809,0.14173682034015656,-0.08134475350379944,-0.1350563019514084,0.11963501572608948,-0.09317341446876526,-0.06767617911100388,0.11353307217359543,-0.15059320628643036,-0.1716335415840149,-0.20643405616283417,0.10290172696113586,0.3206034004688263,0.0747515931725502,-0.22329767048358917,0.06765332072973251,-0.1393517255783081,-0.10142643749713898,-0.019628895446658134,0.03161800652742386,-0.02457452565431595,0.130723774433136,-0.1304243505001068,0.048944950103759766,0.24107025563716888,-0.03149764984846115,0.0021658879704773426,0.23272103071212769,0.025695137679576874,0.06921496242284775,0.09598856419324875,0.020056985318660736,-0.025812264531850815,0.02202814631164074,-0.12296808511018753,-0.006200804375112057,0.056424662470817566,-0.1326797604560852,-0.03878549858927727,0.02950967848300934,-0.2856379747390747,0.15016253292560577,0.03864557668566704,-0.035425856709480286,-0.046015020459890366,-0.02672429382801056,-0.13031233847141266,-0.06059366837143898,0.14126446843147278,-0.33076876401901245,0.15066322684288025,0.18583182990550995,0.049516208469867706,0.12105975300073624,0.0239996537566185,0.01423165574669838,0.05938293784856796,-0.08453616499900818,-0.055289629846811295,-0.042975716292858124,0.1059449315071106,0.014999056234955788,-0.02205907553434372,0.022305171936750412
as_falsa_digital_4,-0.1524544060230255,0.1106085553765297,0.08529584109783173,-0.030153879895806313,-0.0630967915058136,-0.016718974336981773,0.015079226344823837,-0.050474319607019424,0.09806790202856064,-0.009779628366231918,0.23234249651432037,-0.03199977055191994,-0.23269914090633392,-0.10957588255405426,0.01938788592815399,0.08629859238862991,-0.06118910014629364,-0.1528538167476654,0.012630700133740902,-0.01141867320984602,0.056043609976768494,0.0011848354479297996,-0.016881216317415237,0.09848574548959732,-0.13587263226509094,-0.3037375807762146,-0.09698527306318283,-0.11675143241882324,-0.05601904168725014,-0.1787305772304535,-0.05528496205806732,0.09931150078773499,-0.16901461780071259,-0.07993921637535095,0.014373972080647945,0.15943671762943268,-0.011869006790220737,-0.01587541401386261,0.15126033127307892,0.06261956691741943,-0.10885525494813919,-0.041265327483415604,0.03111993707716465,0.36400824785232544,0.1115221306681633,-0.018551966175436974,0.04642755910754204,0.036530014127492905,0.05575351417064667,-0.2167663425207138,0.07231606543064117,0.1042587012052536,0.1485925018787384,0.07803145796060562,0.032058894634246826,-0.13779816031455994,0.028915248811244965,0.06689564883708954,-0.21189144253730774,0.10258566588163376,0.02437686361372471,-0.13372106850147247,-0.06546944379806519,-0.02149694412946701,0.2485009729862213,0.08535697311162949,-0.0843878760933876,-0.1387680172920227,0.11025018244981766,-0.09859631955623627,-0.0514964684844017,0.12461541593074799,-0.1352003812789917,-0.1558452695608139,-0.1920798420906067,0.13277922570705414,0.34953081607818604,0.0872134268283844,-0.19734302163124084,0.07210908085107803,-0.11958351731300354,-0.07107354700565338,-0.023039771243929863,0.057380516082048416,-0.014101969078183174,0.1352359503507614,-0.12724004685878754,0.07374057173728943,0.1845821887254715,-0.012684606947004795,-0.0006083156913518906,0.21351657807826996,-0.0006366521120071411,0.015676045790314674,0.10251126438379288,-0.0063436939381062984,-0.01491197757422924,-0.004430239088833332,-0.10694782435894012,-0.04864216223359108,0.028806287795305252,-0.17267721891403198,-0.044654108583927155,0.03606784716248512,-0.244020476937294,0.11462640017271042,0.023059366270899773,-0.03249051794409752,-0.06332655251026154,-0.043923407793045044,-0.13139617443084717,-0.02436881698668003,0.15957888960838318,-0.34697258472442627,0.15181325376033783,0.16701459884643555,0.044149573892354965,0.11892358958721161,0.019579628482460976,0.025483984500169754,0.03968104347586632,-0.07331021875143051,-0.07494431734085083,-0.030693553388118744,0.11827541142702103,-0.008581763133406639,0.01701739802956581,0.015446696430444717
as_falsa_digital_5,-0.15010879933834076,0.1115671843290329,0.06592358648777008,-0.0558873787522316,-0.031117897480726242,-0.02436230145394802,0.022216562181711197,-0.0808129832148552,0.11431942135095596,-0.03480939567089081,0.26013198494911194,-0.0267376396805048,-0.2097969353199005,-0.10165724158287048,0.03716927766799927,0.05727643892168999,-0.058648064732551575,-0.1323332041501999,0.015611437149345875,-0.025524146854877472,0.057269297540187836,-0.016337603330612183,0.010595545172691345,0.11817097663879395,-0.1400853842496872,-0.3319953680038452,-0.11386372894048691,-0.12288671731948853,-0.037098515778779984,-0.17212258279323578,-0.066360242664814,0.11518813669681549,-0.16411066055297852,-0.06625580787658691,-0.012776069343090057,0.14899519085884094,-0.012756799347698689,0.0006258944049477577,0.1736920177936554,0.06825299561023712,-0.10496079176664352,-0.03983462229371071,0.021924668923020363,0.36048099398612976,0.15298323333263397,-0.03635428100824356,0.04656108468770981,0.046931192278862,0.06852947175502777,-0.2148326337337494,0.05041295662522316,0.09683392941951752,0.17289452254772186,0.07221110910177231,0.04033335670828819,-0.10332996398210526,0.023761894553899765,0.022521093487739563,-0.20108401775360107,0.08017000555992126,0.013700000941753387,-0.13341361284255981,-0.0670359805226326,-0.010367639362812042,0.2539902925491333,0.08872614800930023,-0.07577014714479446,-0.12553803622722626,0.13458968698978424,-0.11486957222223282,-0.05095115676522255,0.13200818002223969,-0.1442098617553711,-0.16904422640800476,-0.1711072474718094,0.14355012774467468,0.32032230496406555,0.11220544576644897,-0.1914147436618805,0.09008237719535828,-0.13731688261032104,-0.0798083245754242,-0.025026438757777214,0.03840098902583122,-0.02361283078789711,0.13583940267562866,-0.12199623137712479,0.07742297649383545,0.19760045409202576,-0.019758671522140503,-0.002249186858534813,0.23906585574150085,-0.00011730659753084183,0.05182313174009323,0.11441197246313095,0.0016229478642344475,-0.022029941901564598,0.0010286485776305199,-0.13147787749767303,-0.03408028557896614,0.03328073024749756,-0.16137641668319702,-0.03807654231786728,0.05059077590703964,-0.27004826068878174,0.14073261618614197,0.004619228653609753,-0.04011433199048042,-0.045598749071359634,-0.026531673967838287,-0.12311152368783951,-0.043644025921821594,0.1471107006072998,-0.3453788757324219,0.11969862878322601,0.17666424810886383,0.048125095665454865,0.11290034651756287,0.008924538269639015,0.008091253228485584,0.04585953429341316,-0.06065908819437027,-0.08921264111995697,-0.023521199822425842,0.12294869869947433,-0.015194712206721306,-0.01931905746459961,0.007055540569126606
as_falsa_digital_6,-0.15527354180812836,0.10746543854475021,0.07319536805152893,-0.05512931942939758,-0.031059714034199715,-0.03131548687815666,0.03127424791455269,-0.07690682262182236,0.12052305042743683,-0.03953158110380173,0.262421190738678,-0.015655726194381714,-0.20216991007328033,-0.10217077285051346,0.031825270503759384,0.05335942283272743,-0.0505979098379612,-0.1376398205757141,0.017564797773957253,-0.023336166515946388,0.06901795417070389,-0.020897163078188896,0.004409321118146181,0.11884624511003494,-0.14898191392421722,-0.32170960307121277,-0.11803079396486282,-0.11747948825359344,-0.034887392073869705,-0.16828680038452148,-0.05371702089905739,0.11414293944835663,-0.16536982357501984,-0.06788652390241623,-0.0229677502065897,0.15138423442840576,-0.013282546773552895,-0.00483478419482708,0.1748565435409546,0.06423944234848022,-0.11224378645420074,-0.04045649245381355,0.026615891605615616,0.363507479429245,0.15217749774456024,-0.04984934255480766,0.04376738518476486,0.048164207488298416,0.06573375314474106,-0.23526917397975922,0.04628463834524155,0.09128545224666595,0.17963925004005432,0.07375285774469376,0.050982363522052765,-0.09988395869731903,0.023932762444019318,0.03054293990135193,-0.20540322363376617,0.08683735132217407,0.0021392605267465115,-0.1285920888185501,-0.06051264703273773,-0.015411576256155968,0.25491875410079956,0.09889520704746246,-0.08362510800361633,-0.1187911182641983,0.13789013028144836,-0.12211287021636963,-0.05099889636039734,0.13655762374401093,-0.13133209943771362,-0.1720416098833084,-0.1768968105316162,0.14828012883663177,0.31617894768714905,0.11312410980463028,-0.1972554624080658,0.08877882361412048,-0.1410163789987564,-0.07748372852802277,-0.026453373953700066,0.034517258405685425,-0.023130493238568306,0.1302725225687027,-0.12716878950595856,0.06933993846178055,0.2046082317829132,-0.019060801714658737,0.005039457231760025,0.24923966825008392,0.005992373451590538,0.0477910116314888,0.11210145056247711,0.009729691781103611,-0.02691332995891571,0.0032122055999934673,-0.13701246678829193,-0.022086910903453827,0.03154553845524788,-0.1631298065185547,-0.03941543772816658,0.05338393524289131,-0.26618167757987976,0.13398949801921844,0.005387510173022747,-0.04561571404337883,-0.04287879541516304,-0.028820566833019257,-0.133909672498703,-0.04837983101606369,0.14521841704845428,-0.34298059344291687,0.12102604657411575,0.17217165231704712,0.03863857686519623,0.1113707572221756,0.019670478999614716,0.006148436572402716,0.04790331795811653,-0.06570164859294891,-0.08087540417909622,-0.016156170517206192,0.12193063646554947,-0.031185200437903404,-0.032840583473443985,0.005663898307830095
as_falsa_digital_7,-0.1494126170873642,0.10112515836954117,0.08158770948648453,-0.05614234879612923,-0.03410356491804123,-0.012886447831988335,0.024679534137248993,-0.08452317863702774,0.13259553909301758,-0.02726145274937153,0.27706587314605713,-0.04189362749457359,-0.20449167490005493,-0.09396348893642426,0.0390092208981514,0.06066283956170082,-0.055810943245887756,-0.14701507985591888,0.017403969541192055,-0.021231472492218018,0.05495661869645119,-0.03763298690319061,-0.0024409694597125053,0.11260940879583359,-0.16175466775894165,-0.32672685384750366,-0.1082313135266304,-0.12110397219657898,-0.04815329611301422,-0.19284602999687195,-0.0698053240776062,0.0960923582315445,-0.17664702236652374,-0.07231797277927399,-0.030770400539040565,0.14209815859794617,-0.012621855363249779,-0.014991236850619316,0.17671449482440948,0.05382605642080307,-0.12006334960460663,-0.01988985389471054,0.019032634794712067,0.3397246301174164,0.129070445895195,-0.023381996899843216,0.04055323451757431,0.05821516737341881,0.062182098627090454,-0.23339223861694336,0.06492830067873001,0.09266962110996246,0.17458638548851013,0.061433419585227966,0.019027750939130783,-0.1205546110868454,-0.0051726000383496284,0.026018688455224037,-0.20061302185058594,0.10607559978961945,0.021894583478569984,-0.12221181392669678,-0.06067643687129021,-0.018657583743333817,0.2478397637605667,0.11372993886470795,-0.08593397587537766,-0.11681893467903137,0.11242608726024628,-0.09824216365814209,-0.04757804796099663,0.11757728457450867,-0.13160845637321472,-0.1921866536140442,-0.1689990907907486,0.1458614468574524,0.31963905692100525,0.0910869613289833,-0.21335414052009583,0.07399033010005951,-0.14964258670806885,-0.07253818958997726,-0.043205585330724716,0.02701425552368164,-0.006912214681506157,0.14704813063144684,-0.1331218034029007,0.06681742519140244,0.2135869562625885,-0.019938506186008453,0.003523804247379303,0.25921398401260376,-0.009572113864123821,0.05443580076098442,0.09166518598794937,0.021360015496611595,-0.023192213848233223,0.011187583208084106,-0.11829620599746704,-0.02392307110130787,0.03905908763408661,-0.14031775295734406,-0.0431847907602787,0.03962639719247818,-0.27892443537712097,0.15903472900390625,0.011506987735629082,-0.029692480340600014,-0.048603761941194534,-0.02037377841770649,-0.12055711448192596,-0.03889571875333786,0.15759170055389404,-0.35252365469932556,0.12215028703212738,0.1813567727804184,0.05647847428917885,0.12326093763113022,0.0213765986263752,-0.007247287780046463,0.06570523232221603,-0.05170051008462906,-0.10227082669734955,-0.02503102272748947,0.11156006902456284,-0.022598428651690483,-0.014346827752888203,0.040698859840631485
as_falsa_digital_8,-0.14925114810466766,0.1303485631942749,0.0926537811756134,-0.014014702290296555,-0.07807741314172745,-0.01046806201338768,-0.003755425103008747,-0.06175750121474266,0.10075969249010086,-0.001565729733556509,0.22888880968093872,-0.04290999844670296,-0.234212726354599,-0.10015502572059631,0.025983337312936783,0.09131573885679245,-0.07054818421602249,-0.16315001249313354,0.009843523614108562,-0.012023134157061577,0.05202991142868996,0.0104503920301795,-0.004423616454005241,0.10221485048532486,-0.14566963911056519,-0.3215322494506836,-0.09687399119138718,-0.11838997900485992,-0.048270151019096375,-0.17322342097759247,-0.059912003576755524,0.10088308155536652,-0.15974830090999603,-0.07626365125179291,0.019800569862127304,0.14087270200252533,-0.01020396314561367,-0.0417880043387413,0.1652706116437912,0.07678474485874176,-0.10339182615280151,-0.04295099899172783,0.028479015454649925,0.36425480246543884,0.11168298125267029,-0.026897964999079704,0.06340375542640686,0.029429413378238678,0.07134700566530228,-0.21523849666118622,0.06572213768959045,0.12966567277908325,0.1433447003364563,0.0945744439959526,0.025585999712347984,-0.1268676221370697,0.029528001323342323,0.05868670716881752,-0.20884087681770325,0.09954364597797394,0.03818512707948685,-0.1261204183101654,-0.06839384138584137,-0.03830653801560402,0.25035884976387024,0.1003914475440979,-0.07398494333028793,-0.13908451795578003,0.09422249346971512,-0.08590593934059143,-0.0736258402466774,0.11011593043804169,-0.1514878123998642,-0.14407014846801758,-0.19016003608703613,0.11581021547317505,0.34622207283973694,0.083747498691082,-0.20924575626850128,0.06184515357017517,-0.12586963176727295,-0.06670212000608444,-0.04054028168320656,0.05781826004385948,-0.022218484431505203,0.12867410480976105,-0.12387886643409729,0.07438255846500397,0.19661381840705872,-0.019007904455065727,6.85754930600524e-05,0.21865808963775635,0.014216406270861626,0.014893966726958752,0.11244343966245651,-0.00010873499559238553,-0.022050093859434128,-0.019558632746338844,-0.10026264935731888,-0.05592327192425728,0.028328265994787216,-0.15813829004764557,-0.04042630270123482,0.02390652522444725,-0.25074562430381775,0.13367977738380432,0.029419485479593277,-0.030536500737071037,-0.06021537259221077,-0.04860977455973625,-0.12711219489574432,-0.017552565783262253,0.16436392068862915,-0.3307846784591675,0.14887063205242157,0.1528003066778183,0.04854992777109146,0.1274060606956482,0.008511793799698353,0.03977468982338905,0.011940345168113708,-0.06296127289533615,-0.04781600460410118,-0.04784368723630905,0.11707493662834167,0.01121020782738924,0.008160591125488281,0.017405960708856583
as_falsa_digital_9,-0.14658235013484955,0.10562092065811157,0.07117601484060287,-0.061836760491132736,-0.027833374217152596,-0.024695925414562225,0.03392162546515465,-0.07870996743440628,0.12378093600273132,-0.027073174715042114,0.2720889747142792,-0.016852695494890213,-0.2067991942167282,-0.10752549767494202,0.04314863309264183,0.04825129359960556,-0.06068854779005051,-0.1399674415588379,0.02312888577580452,-0.019402682781219482,0.06768421083688736,-0.025665339082479477,0.00724194897338748,0.11631175875663757,-0.15409351885318756,-0.32288363575935364,-0.11720182001590729,-0.10730133950710297,-0.02160102128982544,-0.16244715452194214,-0.04177252575755119,0.1180819496512413,-0.17225518822669983,-0.06113354116678238,-0.020469412207603455,0.1466621458530426,-0.00867643766105175,-0.016581304371356964,0.1777624934911728,0.061106126755476,-0.10958240181207657,-0.05006621405482292,0.029365751892328262,0.35537925362586975,0.14481784403324127,-0.047235410660505295,0.04477503150701523,0.05285117030143738,0.05487615242600441,-0.23614275455474854,0.0576934888958931,0.1009458526968956,0.1760987639427185,0.06817427277565002,0.04845400154590607,-0.10558567196130753,0.020224111154675484,0.03343953937292099,-0.20233473181724548,0.09168305993080139,0.0033794324845075607,-0.12084904313087463,-0.057162173092365265,-0.02235947921872139,0.2592255175113678,0.10078601539134979,-0.08373706042766571,-0.122463658452034,0.13690052926540375,-0.11155203729867935,-0.060902900993824005,0.1312626749277115,-0.13587668538093567,-0.16939979791641235,-0.1820841133594513,0.14301030337810516,0.30624109506607056,0.1092028021812439,-0.20693142712116241,0.09192008525133133,-0.14473570883274078,-0.0751652792096138,-0.02821335569024086,0.03306027501821518,-0.02159707434475422,0.12739205360412598,-0.13568666577339172,0.061788883060216904,0.21087868511676788,-0.016483744606375694,-0.0002456235233694315,0.2572578191757202,0.0034095440059900284,0.04099253565073013,0.10851839184761047,0.005047738552093506,-0.020957089960575104,0.0008565469179302454,-0.13824984431266785,-0.03229769691824913,0.0398695282638073,-0.15431974828243256,-0.04186032712459564,0.06537381559610367,-0.2732411026954651,0.13471528887748718,0.014563368633389473,-0.043542489409446716,-0.0306108258664608,-0.02866065874695778,-0.1331096887588501,-0.054468829184770584,0.14638742804527283,-0.3468400239944458,0.1256818175315857,0.1679483950138092,0.04886317998170853,0.11017921566963196,0.02110178768634796,0.012559868395328522,0.05192049220204353,-0.0647938922047615,-0.0763973593711853,-0.017472876235842705,0.11318221688270569,-0.03205839917063713,-0.03421991318464279,0.01561717502772808
as_falsa_digital_10,-0.13439501821994781,0.1068221777677536,0.06696886569261551,-0.059850409626960754,-0.039142899215221405,-0.01918826811015606,0.02777380868792534,-0.07831006497144699,0.1342681497335434,-0.04170818626880646,0.27072447538375854,-0.01610403321683407,-0.20722030103206635,-0.10443531721830368,0.03542620316147804,0.05065203085541725,-0.054558414965867996,-0.14243169128894806,0.026777110993862152,-0.02724568545818329,0.062201742082834244,-0.026928143575787544,0.005253296345472336,0.11730074137449265,-0.14905139803886414,-0.32054781913757324,-0.11750952899456024,-0.10973044484853745,-0.02664344199001789,-0.1749008744955063,-0.055076681077480316,0.11375382542610168,-0.1716107577085495,-0.06332375109195709,-0.021259892731904984,0.14528989791870117,-0.017036721110343933,-0.01754358410835266,0.17133277654647827,0.06365014612674713,-0.10252493619918823,-0.0438983216881752,0.029143523424863815,0.3536223769187927,0.14250199496746063,-0.050374627113342285,0.03724255412817001,0.046957775950431824,0.06449484080076218,-0.22725853323936462,0.060638025403022766,0.0983739048242569,0.18067269027233124,0.06831321120262146,0.053565993905067444,-0.10986530035734177,0.01460460014641285,0.037350546568632126,-0.19656802713871002,0.09978671371936798,4.910863935947418e-05,-0.11942782998085022,-0.06081657111644745,-0.023890584707260132,0.2542559802532196,0.10302088409662247,-0.08012237399816513,-0.1288621425628662,0.13138248026371002,-0.11679833382368088,-0.058213938027620316,0.1292654573917389,-0.13488051295280457,-0.1697586178779602,-0.1803072988986969,0.1416572481393814,0.3049580752849579,0.107144296169281,-0.2007816880941391,0.08647681027650833,-0.13920506834983826,-0.07919749617576599,-0.03287050127983093,0.030881965532898903,-0.023754704743623734,0.12085511535406113,-0.1348298192024231,0.06135032698512077,0.20908606052398682,-0.02008439600467682,-0.001158036757260561,0.2547015845775604,-0.006538900546729565,0.045622386038303375,0.10435863584280014,0.002258019056171179,-0.031229261308908463,0.0036024327855557203,-0.1369682103395462,-0.032649002969264984,0.028619136661291122,-0.17013567686080933,-0.04987754672765732,0.05786621570587158,-0.2751780152320862,0.12051773816347122,0.013337677344679832,-0.043119534850120544,-0.034031953662633896,-0.022120758891105652,-0.1478472501039505,-0.057142168283462524,0.15039405226707458,-0.35180285573005676,0.13079369068145752,0.16924752295017242,0.058201372623443604,0.111921526491642,0.02421380579471588,0.008978920057415962,0.05524367839097977,-0.06954062730073929,-0.07192685455083847,-0.015667825937271118,0.10661278665065765,-0.030358321964740753,-0.0415029376745224,0.014852765947580338
